plate,totalowed
T705340C,2475
T618134C,2473.4999999999995
3C39H,2470
T104033C,2465
T104019C,2465
LUKALIZ,2465
T797312C,2464.4
T714431C,2458.2200000000003
T742768C,2455
T762671C,2455
T784007C,2455
T762987C,2455
T771251C,2455
T784005C,2455
T784009C,2455
T742765C,2455
T762674C,2455
T742769C,2455
T742764C,2455
T742767C,2455
T784008C,2455
T762673C,2455
T762989C,2455
T742766C,2455
T784006C,2455
T783968C,2455
T762670C,2455
T762988C,2455
T797337C,2454.75
T611949C,2448.42
T778703C,2445.140000000001
T686314C,2444.12
T749745C,2441.58
T783883C,2441.19
T785913C,2438.85
T708161C,2438.59
T790944C,2435.69
T782885C,2435.69
3V18H,2432.1800000000003
T776217C,2430
2J87A,2427.4800000000005
2J86B,2427.4800000000005
9G88,2427.4800000000005
T735962C,2413.13
T737474C,2410.33
T706052C,2410
T721923C,2405.17
T652919C,2405.17
T790798C,2405.17
3D34H,2405
4N54J,2403
4N55H,2403
4N55J,2403
T794764C,2401.2
T764806C,2395
T795295C,2395
T764425C,2395
T764800C,2395
T767926C,2395
T695248C,2395
T764807C,2395
T764743C,2395
T764805C,2395
T791248C,2394
1P54J,2392.080000000001
1P56H,2392.080000000001
1P55H,2392.080000000001
T627433C,2390
T102127C,2386.5699999999997
RICOCR2,2382.79
T720643C,2380.4300000000003
T778806C,2380.17
T760728C,2380
T807151C,2377.67
T627931C,2375
T785190C,2375
5Y74C,2375
5Y73C,2375
T795718C,2369.3
TAMLOV92,2365
T783477C,2358.05
6N13J,2355.9700000000003
6N14J,2355.9700000000003
T802314C,2351.7799999999997
T785471C,2350
T796786C,2345
T802206C,2342.12
T750107C,2341.4700000000003
T101447C,2340.87
T102620C,2340.87
T671247C,2340.87
T703944C,2340.87
T786460C,2340.17
MANNYYY,2327.01
T682262C,2322.85
T697275C,2322.85
T806791C,2322.85
2L96H,2316.79
2L95B,2316.79
T673698C,2315.04
T689074C,2315.04
T684543C,2315.04
T626578C,2315.04
T743165C,2315.04
T693860C,2315.04
T786492C,2315.04
T633012C,2315.04
T645595C,2315.04
T665030C,2315.04
T636232C,2315.04
T677662C,2315.04
T636187C,2315.04
T645594C,2315.04
T642977C,2315.04
T633755C,2315.04
T689071C,2315.04
T645561C,2315.04
T665028C,2315.04
T796685C,2315.04
T684369C,2315.04
T633738C,2315.04
T636186C,2315.04
T626579C,2315.04
T642183C,2315.04
T633696C,2315.04
T728286C,2315
T732320C,2311.8199999999997
T102224C,2304.42
T750300C,2293.41
8N82H,2286.59
4K31C,2286.59
T744636C,2285.23
T781096C,2281.1000000000004
T718790C,2280.26
T759373C,2275.73
T787959C,2270.34
T804910C,2270.34
T670251C,2270
T497120C,2270
T676718C,2270
T498562C,2270
T495340C,2270
T495545C,2270
T495558C,2270
T480369C,2270
T793555C,2266.9700000000003
TTL,2255
T804007C,2252.54
T780942C,2250
T768415C,2248.9700000000003
T789345C,2246.7200000000003
T100466C,2243.24
2C21H,2242.0000000000005
T624882C,2241.36
T794588C,2238.33
T697463C,2238.33
T668850C,2238.33
T807175C,2238.33
T794522C,2238.33
T727800C,2237.44
T486851C,2235
T807470C,2228.6800000000003
JEFATURA,2212.26
T679283C,2210.6
T785237C,2201.7200000000003
T792616C,2201.7200000000003
T790312C,2201.7200000000003
2M28D,2199.8499999999995
2M29J,2199.8499999999995
T779902C,2195.6800000000003
T714310C,2190
T689953C,2190
T771653C,2187.62
6G77H,2185.91
T789310C,2185
